,AAPL,capital_used,ending_cash,ending_value,long_mavg,orders,period_close,period_open,pnl,portfolio_value,positions,returns,short_mavg,starting_cash,starting_value,transactions
2011-07-07 20:00:00,47.932813,0.0,99027.6010614,4793.2813,41.0214280867,[],2011-07-07 20:00:00+00:00,2011-07-07 13:31:00+00:00,72.9991,103820.882361,"[{'amount': 100, 'last_sale_price': 47.932813, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000703620138602,45.86637758,99027.6010614,4720.2822,[]
2011-07-08 20:00:00,48.26963,0.0,99027.6010614,4826.963,41.0655409433,[],2011-07-08 20:00:00+00:00,2011-07-08 13:31:00+00:00,33.6817,103854.564061,"[{'amount': 100, 'last_sale_price': 48.26963, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000324421245841,45.86708872,99027.6010614,4793.2813,[]
2011-07-11 20:00:00,47.503408,0.0,99027.6010614,4750.3408,41.1047469167,[],2011-07-11 20:00:00+00:00,2011-07-11 13:31:00+00:00,-76.6222,103777.941861,"[{'amount': 100, 'last_sale_price': 47.503408, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-0.000737783656332,45.85917144,99027.6010614,4826.963,[]
2011-07-12 20:00:00,47.469855,0.0,99027.6010614,4746.9855,41.1472718367,[],2011-07-12 20:00:00+00:00,2011-07-12 13:31:00+00:00,-3.35530000001,103774.586561,"[{'amount': 100, 'last_sale_price': 47.469854999999995, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-3.2331533463e-05,45.84658438,99027.6010614,4750.3408,[]
2011-07-13 20:00:00,48.042848,0.0,99027.6010614,4804.2848,41.1929099833,[],2011-07-13 20:00:00+00:00,2011-07-13 13:31:00+00:00,57.2993,103831.885861,"[{'amount': 100, 'last_sale_price': 48.042848, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000552151561366,45.84620864,99027.6010614,4746.9855,[]
2011-07-14 20:00:00,48.009305,0.0,99027.6010614,4800.9305,41.24279304,[],2011-07-14 20:00:00+00:00,2011-07-14 13:31:00+00:00,-3.35429999999,103828.531561,"[{'amount': 100, 'last_sale_price': 48.009305, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-3.23051052397e-05,45.85588376,99027.6010614,4804.2848,[]
2011-07-15 20:00:00,48.968769,0.0,99027.6010614,4896.8769,41.3005217533,[],2011-07-15 20:00:00+00:00,2011-07-15 13:31:00+00:00,95.9464,103924.477961,"[{'amount': 100, 'last_sale_price': 48.968769, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000924085109913,45.89118926,99027.6010614,4800.9305,[]
2011-07-18 20:00:00,50.160378,0.0,99027.6010614,5016.0378,41.35411292,[],2011-07-18 20:00:00+00:00,2011-07-18 13:31:00+00:00,119.1609,104043.638861,"[{'amount': 100, 'last_sale_price': 50.160378, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.00114661052273,45.93302989,99027.6010614,4896.8769,[]
2011-07-19 20:00:00,50.569652,0.0,99027.6010614,5056.9652,41.40793669,[],2011-07-19 20:00:00+00:00,2011-07-19 13:31:00+00:00,40.9274,104084.566261,"[{'amount': 100, 'last_sale_price': 50.569652000000005, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000393367633503,45.97861428,99027.6010614,5016.0378,[]
2011-07-20 20:00:00,51.918274,0.0,99027.6010614,5191.8274,41.4637643833,[],2011-07-20 20:00:00+00:00,2011-07-20 13:31:00+00:00,134.8622,104219.428461,"[{'amount': 100, 'last_sale_price': 51.918274, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.00129569834265,46.03059969,99027.6010614,5056.9652,[]
2011-07-21 20:00:00,51.970604,0.0,99027.6010614,5197.0604,41.52143495,[],2011-07-21 20:00:00+00:00,2011-07-21 13:31:00+00:00,5.23300000001,104224.661461,"[{'amount': 100, 'last_sale_price': 51.970603999999994, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",5.02113672783e-05,46.07633179,99027.6010614,5191.8274,[]
2011-07-22 20:00:00,52.777087,0.0,99027.6010614,5277.7087,41.5838245433,[],2011-07-22 20:00:00+00:00,2011-07-22 13:31:00+00:00,80.6483,104305.309761,"[{'amount': 100, 'last_sale_price': 52.777087, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000773792870796,46.13536213,99027.6010614,5197.0604,[]
2011-07-25 20:00:00,53.474879,0.0,99027.6010614,5347.4879,41.6483611967,[],2011-07-25 20:00:00+00:00,2011-07-25 13:31:00+00:00,69.7792,104375.088961,"[{'amount': 100, 'last_sale_price': 53.474879, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000668989912015,46.1975996,99027.6010614,5277.7087,[]
2011-07-26 20:00:00,54.133756,0.0,99027.6010614,5413.3756,41.71592607,[],2011-07-26 20:00:00+00:00,2011-07-26 13:31:00+00:00,65.8877,104440.976661,"[{'amount': 100, 'last_sale_price': 54.133756000000005, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.00063125886316,46.25644213,99027.6010614,5347.4879,[]
2011-07-27 20:00:00,52.681818,0.0,99027.6010614,5268.1818,41.78044932,[],2011-07-27 20:00:00+00:00,2011-07-27 13:31:00+00:00,-145.1938,104295.782861,"[{'amount': 100, 'last_sale_price': 52.68181800000001, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-0.00139019956191,46.30017483,99027.6010614,5413.3756,[]
2011-07-28 20:00:00,52.578491,0.0,99027.6010614,5257.8491,41.8493605933,[],2011-07-28 20:00:00+00:00,2011-07-28 13:31:00+00:00,-10.3327,104285.450161,"[{'amount': 100, 'last_sale_price': 52.57849100000001, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-9.90711198144e-05,46.34910073,99027.6010614,5268.1818,[]
2011-07-29 20:00:00,52.398676,0.0,99027.6010614,5239.8676,41.91563278,[],2011-07-29 20:00:00+00:00,2011-07-29 13:31:00+00:00,-17.9815,104267.468661,"[{'amount': 100, 'last_sale_price': 52.398676, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-0.000172425779168,46.39569164,99027.6010614,5257.8491,[]
2011-08-01 20:00:00,53.240045,0.0,99027.6010614,5324.0045,41.9827235,[],2011-08-01 20:00:00+00:00,2011-08-01 13:31:00+00:00,84.1369,104351.605561,"[{'amount': 100, 'last_sale_price': 53.240044999999995, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000806933371263,46.45511111,99027.6010614,5239.8676,[]
2011-08-02 20:00:00,52.187994,0.0,99027.6010614,5218.7994,42.0469962333,[],2011-08-02 20:00:00+00:00,2011-08-02 13:31:00+00:00,-105.2051,104246.400461,"[{'amount': 100, 'last_sale_price': 52.187994, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-0.00100817902546,46.51179312,99027.6010614,5324.0045,[]
