Date,Rate,High (est),Low (est)
2014-11-27,0.0037400000000001,-1.2576,-1.2281
2014-11-26,0.0028699999999999,1.2576,1.2281
2014-11-25,-0.00482,-1.2586,-1.231
2014-11-24,-0.00908,1.2586,1.231
2014-11-21,0.0017,-1.2672,-1.2372
2014-11-20,0.00214,0.0022000000000002,0.0021
2014-11-19,-0.00135,-0.00040000000000018,-0.0023
2014-11-18,0.0012299999999998,-0.00019999999999998,0.0027000000000001
2014-11-17,0.0042600000000002,0.0053000000000001,0.0031999999999999
2014-11-14,0.00068999999999986,9.9999999999989e-05,0.0013000000000001
2014-11-13,0.00079000000000007,0.00069999999999992,0.0008999999999999
2014-11-12,-0.0017100000000001,1.2595,1.2293
2014-11-11,-0.00010999999999983,0.0,0.0
2014-11-10,-0.00265,-1.2634,-1.2344
2014-11-07,-0.0029000000000001,-0.0026999999999999,-0.0031000000000001
2014-11-06,0.00079000000000007,0.00039999999999996,0.0012000000000001
2014-11-05,0.00048000000000004,0.0013000000000001,-0.00029999999999997
2014-11-04,-0.00501,-0.0066999999999999,-0.0034000000000001
2014-11-03,-0.0099400000000001,1.2711,1.24
2014-10-31,-0.0069399999999999,-1.2872,-1.2576
2014-10-30,0.0014699999999999,1.2872,1.2576
2014-10-29,0.0022000000000002,-1.2844,-1.2531
2014-10-28,0.00247,1.2844,1.2531
2014-10-27,-0.00023000000000017,-1.2821,-1.2509
2014-10-24,-0.0059199999999999,-0.0053000000000001,-0.0065000000000002
2014-10-23,-0.0049299999999999,1.2874,1.2574
2014-10-22,0.00071999999999983,-1.2923,-1.261
2014-10-21,-0.00088999999999984,0.00059999999999993,-0.0023000000000002
2014-10-20,0.0012399999999999,0.00029999999999997,0.0021
2014-10-17,0.00691,0.0063000000000002,0.0075000000000001
2014-10-16,0.0009300000000001,1.2851,1.2537
2014-10-15,0.00257,0.0,0.0
2014-10-14,-0.00087999999999999,-1.2816,-1.2519
2014-10-13,-0.004,-0.0046999999999999,-0.0034000000000001
2014-10-10,0.0052999999999999,0.0065999999999999,0.0041
2014-10-09,0.0051500000000002,1.2797,1.2512
2014-10-08,0.0063599999999999,-1.2694,-1.2385
2014-10-07,-0.00224,-0.0018,-0.0026000000000002
2014-10-06,-0.0071699999999999,1.2712,1.2411
2014-10-03,0.00051999999999985,-1.2783,-1.2474
2014-10-02,-0.0037700000000001,1.2783,1.2474
2014-10-01,-0.0020399999999998,0.0,0.0
2014-09-30,-0.0024700000000002,0.0,0.0
2014-09-29,-0.00674,-1.2934,-1.2623
2014-09-26,-0.0062799999999998,-0.0055999999999998,-0.0070000000000001
2014-09-25,-0.00153,-0.0019,-0.0011999999999999
2014-09-24,0.00162,0.0016,0.0017
2014-09-23,-0.0010000000000001,1.2993,1.2688
2014-09-22,-0.0057999999999998,0.0,0.0
2014-09-19,-0.0041,-1.311,-1.2789
2014-09-18,0.00017999999999985,1.311,1.2789
2014-09-17,-0.00048999999999988,-1.31,-1.2805
2014-09-16,0.0004599999999999,1.31,1.2805
2014-09-15,0.00227,-1.3078,-1.2772
2014-09-12,0.00083000000000011,0.0010000000000001,0.00059999999999993
2014-09-11,0.00034999999999985,0.00029999999999997,0.00039999999999996
2014-09-10,-0.00315,-0.0025999999999999,-0.0036
2014-09-09,-0.0057,1.3091,1.2798
2014-09-08,-0.0099499999999999,-1.3258,-1.2945
2014-09-05,-0.00326,1.3258,1.2945
2014-09-04,0.00066999999999995,-1.3287,-1.2968
2014-09-03,-0.00052999999999992,1.3287,1.2968
2014-09-02,-0.0022500000000001,-1.3311,-1.2999
2014-09-01,-0.0032699999999999,1.3311,1.2999
2014-08-29,0.00025999999999993,-1.3343,-1.3028
2014-08-28,-0.00116,1.3343,1.3028
2014-08-27,-0.0019699999999998,-1.3361,-1.3072
2014-08-26,-0.00349,-0.0046999999999999,-0.0023000000000002
2014-08-25,-0.0025900000000001,-0.0016,-0.0035999999999998
2014-08-22,-0.0038400000000001,1.3424,1.3131
2014-08-21,-0.0043599999999999,0.0,0.0
2014-08-20,-0.0030600000000001,-1.354,-1.3239
2014-08-19,5.9999999999949e-05,1.354,1.3239
2014-08-18,0.0020300000000002,0.0,0.0
2014-08-15,0.00018999999999991,-1.3523,-1.3211
2014-08-14,-0.00101,1.3523,1.3211
2014-08-13,-0.0024300000000002,-1.3565,-1.3238
2014-08-12,0.00036000000000014,1.3565,1.3238
2014-08-11,0.0026999999999999,-1.3525,-1.3216
2014-08-08,-0.00082000000000004,1.3525,1.3216
2014-08-07,-0.00292,-1.3563,-1.3254
2014-08-06,-0.0018499999999999,1.3563,1.3254
2014-08-05,0.00083999999999995,-1.3578,-1.3259
2014-08-04,0.0022900000000001,1.3578,1.3259
2014-08-01,-0.00146,-1.3565,-1.3256
2014-07-31,-0.00204,1.3565,1.3256
2014-07-30,-0.0002899999999999,-1.3595,-1.3272
2014-07-29,-0.0010700000000001,1.3595,1.3272
2014-07-28,-0.0034000000000001,0.0,0.0
2014-07-25,0.0,-1.3631,-1.3325
2014-07-24,-0.0031699999999999,-0.0026999999999999,-0.0037
2014-07-23,-0.0016799999999999,1.3658,1.3362
2014-07-22,6.9999999999792e-05,-1.3675,-1.3377
2014-07-21,-0.00095999999999985,1.3675,1.3377
2014-07-18,-0.0032400000000001,-1.3726,-1.341
2014-07-17,-0.00396,-0.0042,-0.0037
2014-07-16,-0.00051999999999985,1.3768,1.3447
2014-07-15,-0.00016000000000016,-1.3774,-1.3455
2014-07-14,-0.00095999999999985,-0.00039999999999996,-0.0015000000000001
2014-07-11,0.0008999999999999,1.3778,1.347
2014-07-10,0.00132,-1.3755,-1.3448
2014-07-09,-0.00105,1.3755,1.3448
2014-07-08,0.0,0.0,0.0
2014-07-07,-0.0037499999999999,0.0,0.0
2014-07-04,-0.0025300000000001,-1.3828,-1.3522
2014-07-03,-0.00032999999999994,1.3828,1.3522
2014-07-02,0.00214,-1.3807,-1.3507
2014-07-01,0.0019199999999999,1.3807,1.3507
2014-06-30,0.0018100000000001,0.0,0.0
2014-06-27,0.00062999999999991,-1.3763,-1.3463
2014-06-26,0.00109,0.00070000000000014,0.0014000000000001
2014-06-25,0.00042000000000009,-0.00029999999999997,0.0010999999999999
2014-06-24,-0.00059000000000009,-0.00030000000000019,-0.0008999999999999
2014-06-23,0.00125,0.0016,0.0010000000000001
2014-06-20,0.00312,0.0030000000000001,0.0031999999999999
2014-06-19,0.00049999999999994,1.3716,1.3405
2014-06-18,0.00084000000000017,-1.3712,-1.3383
2014-06-17,0.00038999999999989,0.00019999999999998,0.00060000000000016
