Date,High,Open,Low,Close
2014-01-02 23:34:00+00:00,1.36622,1.36624,1.36622,1.36624
2014-01-02 23:35:00+00:00,1.36622,1.36624,1.36622,1.36622
2014-01-02 23:36:00+00:00,1.36623,1.36623,1.36618,1.36619
2014-01-02 23:37:00+00:00,1.36616,1.36616,1.36588,1.36602
2014-01-02 23:38:00+00:00,1.36603,1.36612,1.36601,1.36609
2014-01-02 23:39:00+00:00,1.36605,1.36615,1.36601,1.36615
2014-01-02 23:40:00+00:00,1.36622,1.36632,1.36622,1.36625
2014-01-02 23:41:00+00:00,1.36621,1.36624,1.36621,1.36624
2014-01-02 23:42:00+00:00,1.36622,1.36632,1.36622,1.3663
2014-01-02 23:43:00+00:00,1.36629,1.36633,1.36629,1.3663
2014-01-02 23:44:00+00:00,1.36629,1.36632,1.36628,1.36628
2014-01-02 23:45:00+00:00,1.36629,1.36632,1.36629,1.3663
2014-01-02 23:46:00+00:00,1.36635,1.36638,1.36609,1.3661
2014-01-02 23:47:00+00:00,1.36612,1.36612,1.36608,1.36608
2014-01-02 23:48:00+00:00,1.36607,1.36609,1.36607,1.36609
2014-01-02 23:49:00+00:00,1.3661,1.36612,1.36598,1.36599
2014-01-02 23:50:00+00:00,1.36601,1.36603,1.36598,1.36598
2014-01-02 23:51:00+00:00,1.36597,1.36604,1.36597,1.36603
2014-01-02 23:52:00+00:00,1.36604,1.36604,1.36601,1.36602
2014-01-02 23:53:00+00:00,1.36601,1.36605,1.36601,1.36604
2014-01-02 23:54:00+00:00,1.36602,1.36614,1.36602,1.36612
2014-01-02 23:55:00+00:00,1.36613,1.36613,1.36611,1.36611
2014-01-02 23:56:00+00:00,1.36612,1.36624,1.36612,1.36624
2014-01-02 23:57:00+00:00,1.36622,1.36624,1.36611,1.36611
2014-01-02 23:58:00+00:00,1.36612,1.36624,1.36611,1.36624
2014-01-02 23:59:00+00:00,1.36622,1.36625,1.36622,1.36625
2014-01-03 00:00:00+00:00,1.36626,1.36642,1.36624,1.36642
2014-01-03 00:01:00+00:00,1.36645,1.36645,1.3662,1.36624
2014-01-03 00:02:00+00:00,1.36622,1.36623,1.36615,1.36622
2014-01-03 00:03:00+00:00,1.36623,1.36632,1.36622,1.36631
